"Longitude","Latitude","Loc_ID","Type"
35.9426035051714,-2.94899709404688,"Region-Arusha","Region"
39.2616114568634,-6.8847738604062,"Region-Dar es Salaam","Region"
35.9215073521668,-5.92700555611042,"Region-Dodoma","Region"
31.8989442176568,-3.30766877844893,"Region-Geita","Region"
35.4752283196159,-7.8013044208293,"Region-Iringa","Region"
31.1813496759671,-2.02978508751186,"Region-Kagera","Region"
39.772632306633,-5.04356878541043,"Region-Kaskazini Pemba","Region"
39.2914499983997,-5.92529420654368,"Region-Kaskazini Unguja","Region"
31.3457775710235,-6.38527228336947,"Region-Katavi","Region"
30.5610652706355,-4.58728424118025,"Region-Kigoma","Region"
37.6400977052932,-3.76007128309747,"Region-Kilimanjaro","Region"
39.7434053821809,-5.3148230947492,"Region-Kusini Pemba","Region"
38.401388681953,-9.48169620345261,"Region-Lindi","Region"
36.5481361390059,-4.53366680621751,"Region-Manyara","Region"
34.3962553732164,-1.85264353331839,"Region-Mara","Region"
33.3811320114603,-8.23010037283133,"Region-Mbeya","Region"
36.9883377293266,-7.92080842799254,"Region-Morogoro","Region"
39.1126527558336,-10.7761283356317,"Region-Mtwara","Region"
33.2015704200048,-2.8981322767798,"Region-Mwanza","Region"
34.7140394468737,-9.45025591916689,"Region-Njombe","Region"
38.6224334926512,-7.23637744667948,"Region-Pwani","Region"
31.4085714149398,-7.98516703031371,"Region-Rukwa","Region"
36.2511548868672,-10.7243172072378,"Region-Ruvuma","Region"
32.9360839330008,-3.75194544401818,"Region-Shinyanga","Region"
34.2931650727133,-3.0410716056962,"Region-Simiyu","Region"
34.4953855923901,-5.74544269023275,"Region-Singida","Region"
32.8215862176606,-5.26375678755233,"Region-Tabora","Region"
38.2765059582363,-5.217080203981,"Region-Tanga","Region"
36.651257854937,-3.28612461880825,"District-Arusha-Arusha","District"
36.6745473579394,-3.4355429019965,"District-Arusha-Arusha Urban","District"
35.4343290936252,-3.55211764697831,"District-Arusha-Karatu","District"
36.4955083453834,-2.7209565832005,"District-Arusha-Longido","District"
36.9010877556024,-3.33499247688625,"District-Arusha-Meru","District"
36.2262318693501,-3.40404531746223,"District-Arusha-Monduli","District"
35.4947924503374,-2.67218436914472,"District-Arusha-Ngorongoro","District"
39.1492434520707,-6.9328078443381,"District-Dar es Salaam-Ilala","District"
39.1417997259361,-6.7283367327762,"District-Dar es Salaam-Kinondoni","District"
39.4062053293989,-6.97603687329448,"District-Dar es Salaam-Temeke","District"
35.472197078633,-6.13487161185979,"District-Dodoma-Bahi","District"
35.8457336114904,-6.31137576883063,"District-Dodoma-Chamwino","District"
35.6667663711879,-5.25804909736698,"District-Dodoma-Chemba","District"
35.7912150681559,-6.10587844101047,"District-Dodoma-Dodoma Urban","District"
35.8991419989559,-4.74175618154816,"District-Dodoma-Kondoa","District"
36.5462202174538,-6.01481614703576,"District-Dodoma-Kongwa","District"
36.3331965104424,-6.7605543075953,"District-Dodoma-Mpwapwa","District"
31.6054868780756,-3.70819771269887,"District-Geita-Bukombe","District"
31.681623289809,-2.84246408289666,"District-Geita-Chato","District"
32.186625753634,-2.88804428038198,"District-Geita-Geita","District"
32.1610512955898,-3.46259927955883,"District-Geita-Mbogwe","District"
32.6048329667612,-3.14955026317794,"District-Geita-Nyang'hwale","District"
35.1953158583064,-7.5020771868604,"District-Iringa-Iringa Rural","District"
35.7086534394627,-7.73379715568007,"District-Iringa-Iringa Urban","District"
36.2141027682277,-7.79930635121383,"District-Iringa-Kilolo","District"
35.2444213759305,-8.36363623907636,"District-Iringa-Mafinga Township Authority","District"
35.2701511121808,-8.4999333833805,"District-Iringa-Mufindi","District"
31.2568434466289,-2.73945253633397,"District-Kagera-Biharamulo","District"
31.585652089147,-1.43228966702985,"District-Kagera-Bukoba","District"
31.8047915091845,-1.31708673267949,"District-Kagera-Bukoba Urban","District"
31.0911377725712,-1.74938018407894,"District-Kagera-Karagwe","District"
30.7883729290432,-1.26278700743211,"District-Kagera-Kyerwa","District"
31.409247897084,-1.14227641156928,"District-Kagera-Missenyi","District"
31.5006731852511,-1.91507254371184,"District-Kagera-Muleba","District"
30.7109498726728,-2.64171999025821,"District-Kagera-Ngara","District"
39.7769578015863,-4.97407441624952,"District-Kaskazini Pemba-Micheweni","District"
39.7689146089818,-5.10329814720723,"District-Kaskazini Pemba-Wete","District"
39.3145074079078,-5.86412357418473,"District-Kaskazini Unguja-Kaskazini A","District"
39.2707365953869,-5.98024653334257,"District-Kaskazini Unguja-Kaskazini B","District"
31.7754019696977,-6.63779423749285,"District-Katavi-Mlele","District"
30.6002087532004,-5.94264521425906,"District-Katavi-Mpanda Rural","District"
30.9901476892418,-6.41021334327688,"District-Katavi-Mpanda Urban","District"
29.9532019829176,-4.45953642261862,"District-Kigoma-Buhigwe","District"
30.8998863406209,-3.23351810679662,"District-Kigoma-Kakonko","District"
30.4233961080089,-4.50493959435056,"District-Kigoma-Kasulu","District"
30.0944030941727,-4.58700956358054,"District-Kigoma-Kasulu Township Authority","District"
30.9793380260499,-4.15457178527299,"District-Kigoma-Kibondo","District"
29.6658862837911,-4.89176965061744,"District-Kigoma-Kigoma Municipal-Ujiji","District"
29.7418111102969,-4.71950385963097,"District-Kigoma-Kigoma Rural","District"
30.2487481728202,-5.52204028036507,"District-Kigoma-Uvinza","District"
37.2005669365484,-3.28923349188981,"District-Kilimanjaro-Hai","District"
37.4210191515372,-3.37600506713193,"District-Kilimanjaro-Moshi","District"
37.3417123989164,-3.34801851060348,"District-Kilimanjaro-Moshi Municipal","District"
