"META_INSTANCE_ID","ANIMAL_ID","LOCATION_OF_EVENT_REGION","LOCATION_OF_EVENT_DISTRICT","LOCATION_OF_EVENT_WARD","LOCATION_OF_EVENT_VILLAGE","Loc_ID","Loc_ID_w","Loc_ID_d","DATE_OF_INVESTIGATION","TYPE_OF_INVESTIGATION","IS_INVESTGATION_LINKED","ANIMAL_TYPE","ANIMAL_TYPE_WILDLIFE","NUMBER_OF_PEOPLE_BITTEN","NO_OF_PEOPLE_BITTEN_REPEAT_COUNT","OTHER_ANIMALS_BITTEN","OTHER_ANIMALS_BITTEN_SPECIFY","WAS_ANIMAL_OWNED","ANIMAL_AGE","ANIMAL_SEX","IS_ANIMAL_VACCINATED","YEAR_VACCINATED","ANIMAL_FOUND","ANIMAL_OUTCOME","DEATH_CAUSE","SAMPLE_COLLECTED","WHY_SAMPLE_WAS_NOT_TAKEN","SAMPLE_WAS_COLLECTED_SAMPLE_DATE","SAMPLE_WAS_COLLECTED_LOCATION_SAMPLE_STORED","SAMPLE_WAS_COLLECTED_LOCATION_SAMPLE_STORED_OTHER","SAMPLE_WAS_COLLECTED_DATE_TAKEN_TO_LAB","SAMPLE_WAS_COLLECTED_LATERAL_FLOW_TEST_DONE","SAMPLE_WAS_COLLECTED_LATERAL_FLOW_TEST_OUTCOME","REASON_FOR_REPORT","REASON_FOR_REPORT_OTHER","REPORTED_FROM","RISK_ASSESSMENT","ASSESSMENT_DECISION","Date_proxy","Year","Month","Day","jmonth","jday","Year_month","Assessment","correction_type","IBCM_start","VICTIM_ENV","HE_aggressive","HE_approach_dog","HE_no_provocation","HE_playing","HE_scared_of_dogs","HE_noise","HE_throwing_things","HE_running","ANIMAL_ENV","AE_chained","AE_fenced","AE_lots_of_dogs","AE_on_owners_property","AE_from_unknown_place","AE_lots_of_people","SYMPTOMS","S_abnormal_vocalization","S_restlessness","S_active_during_day","S_dullness","S_tameness","S_excessive_salivation","S_hypersexuality","S_unprovoked_aggression","S_paralysis"
"uuid:0803657a-cb86-4f3a-9253-f89216098777",NA,"Morogoro","Ulanga","Mahenge",NA,"Village-Morogoro-Ulanga-Mahenge-NA","Ward-Morogoro-Ulanga-Mahenge","District-Morogoro-Ulanga",2019-01-28,"in_person","yes","dog",NA,1,1,"none",NA,"owned","adult","female","no",NA,"yes","alive",NA,"no","not_applicable",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,"normal_behaviour","suspicious_for_of_rabies",2019-01-28,2019,1,27,13,39,"2019-1","Suspect","Not altered","2018-08-01","scared_of_dogs",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"on_owners_property",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"unprovoked_aggression",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"uuid:08a48bf9-da53-4ea2-9bd4-4dfab0deda95",NA,"Morogoro","Ulanga","Kichangani","Kichangani","Village-Morogoro-Ulanga-Kichangani-Kichangani","Ward-Morogoro-Ulanga-Kichangani","District-Morogoro-Ulanga",2019-01-30,"in_person","yes","dog",NA,1,1,"none",NA,"unknown","adult","unknown","unknown",NA,"no","disappeared",NA,"no","animal_disappeared",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,NA,"suspicious_for_of_rabies",2019-01-30,2019,1,29,13,41,"2019-1","Suspect","Not altered","2018-08-01","not_provoked",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"from_unknown_place",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"unprovoked_aggression",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"uuid:0af42401-10db-4786-932e-f84e6d4b1a33",NA,"Lindi","Kilwa","Chumo","Chumo","Village-Lindi-Kilwa-Chumo-Chumo","Ward-Lindi-Kilwa-Chumo","District-Lindi-Kilwa",2019-03-07,"phone_consultation","yes","dog",NA,1,1,"none",NA,"unknown","juvenile","female","no",NA,"no","lost",NA,"no","decomposed",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,NA,"suspicious_for_of_rabies",2019-03-07,2019,3,65,15,77,"2019-3","Suspect","Not altered","2018-07-01","aggressive",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"from_unknown_place",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"unprovoked_aggression",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"uuid:0b501272-03ce-4bd0-a72f-f41f3646107a",NA,"Morogoro","Ulanga","Vigoi","Makanga","Village-Morogoro-Ulanga-Vigoi-Makanga","Ward-Morogoro-Ulanga-Vigoi","District-Morogoro-Ulanga",2019-02-09,"in_person","yes","dog",NA,1,1,"none",NA,"unknown","adult","unknown","unknown",NA,"no","disappeared",NA,"no","animal_disappeared",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,NA,"suspicious_for_of_rabies",2019-02-09,2019,2,39,14,51,"2019-2","Suspect","Not altered","2018-08-01","not_provoked",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"from_unknown_place",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"unprovoked_aggression",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"uuid:0c43725e-192d-451a-857e-14f44baa2dc6",NA,"Mtwara","Tandahimba","Kitama","Mwenge 'A'","Village-Mtwara-Tandahimba-Kitama-Mwenge 'A'","Ward-Mtwara-Tandahimba-Kitama","District-Mtwara-Tandahimba",2019-02-09,"in_person","yes","dog",NA,0,0,"none",NA,"owned","puppy","male","no",NA,"yes","dead","natural_death","no","decomposed",NA,NA,NA,NA,NA,NA,"suspect_rabid_animals",NA,NA,NA,"suspicious_for_of_rabies",2019-02-09,2019,2,39,14,51,"2019-2","Suspect","Correction Spreadsheet","2018-06-01",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"abnormal_vocalization,dullness,excessive_salivation,restlessness,running_without_reason",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"uuid:0c8d765d-4306-4661-8be1-ae86161ab3aa","Mbuzi","Morogoro","Ulanga","Malinyi","Misegese","Village-Morogoro-Ulanga-Malinyi-Misegese","Ward-Morogoro-Malinyi-Malinyi","District-Morogoro-Malinyi",2018-11-13,"in_person","no","livestock",NA,0,0,"cow",NA,"owned","adult","female","not_applicable",NA,"yes","dead","natural_death","yes",NA,"2018-11-13","dvo_office",NA,"2018-11-13","yes","positive","found_dead",NA,NA,NA,"suspicious_for_of_rabies",2018-11-13,2018,11,316,11,316,"2018-11","Suspect","Correction Spreadsheet","2018-08-01",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"restlessness,tameness,unprovoked_aggression",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"uuid:0d5be32e-55de-486c-a6bb-33370afcb11d",NA,"Lindi","Kilwa","Miteja","Miteja","Village-Lindi-Kilwa-Miteja-Miteja","Ward-Lindi-Kilwa-Miteja","District-Lindi-Kilwa",2019-02-11,"phone_consultation","yes","dog",NA,1,1,"none",NA,"not_owned","adult","unknown","no",NA,"no","lost",NA,"no","animal_disappeared",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,NA,"suspicious_for_of_rabies",2019-02-11,2019,2,41,14,53,"2019-2","Suspect","Not altered","2018-07-01","not_provoked",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"from_unknown_place",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"tameness",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"uuid:12818210-54ef-460b-84e1-e73e422fd93f",NA,"Morogoro","Kilosa","Msowero","Msowero","Village-Morogoro-Kilosa-Msowero-Msowero","Ward-Morogoro-Kilosa-Msowero","District-Morogoro-Kilosa",2018-10-10,"in_person","yes","dog",NA,1,1,"none",NA,"unknown","adult","male","unknown",NA,"no","dead","killed_by_community","no","not_applicable",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,NA,"suspicious_for_of_rabies",2018-10-10,2018,10,282,10,282,"2018-10","Suspect","Not altered","2018-08-01","not_provoked",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"from_unknown_place",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"restlessness",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"uuid:14d023c7-01a3-43ea-92eb-29091203b40e",NA,"Mtwara","Masasi",NA,NA,"Village-Mtwara-Masasi-NA-NA","Ward-Mtwara-Masasi-NA","District-Mtwara-Masasi",2019-02-10,"phone_consultation","yes","dog",NA,0,0,"none",NA,"unknown","unknown","unknown","unknown",NA,"no","disappeared",NA,"no","not_applicable",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,NA,"suspicious_for_of_rabies",2019-02-10,2019,2,40,14,52,"2019-2","Suspect","Not altered","2018-06-01","not_provoked",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"from_unknown_place",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"running_without_reason",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"uuid:17fb7b51-ea3d-44f0-8b18-d1517bbcb473",NA,"Mtwara","Tandahimba","Tandahimba","Matogoro","Village-Mtwara-Tandahimba-Tandahimba-Matogoro","Ward-Mtwara-Tandahimba-Tandahimba","District-Mtwara-Tandahimba",2019-01-10,"in_person","yes","dog",NA,1,1,"none",NA,"not_owned","adult","unknown","no",NA,"no","alive",NA,"no","not_applicable",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,"normal_behaviour","healthy",2019-01-10,2019,1,9,13,21,"2019-1","Healthy","Not altered","2018-06-01","approching_the_dog,noise,running,throwing_things",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"lots_of_dogs,lots_of_people",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"abnormal_vocalization",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"uuid:187cf70b-3284-426a-94fa-56d8324444a4",NA,"Morogoro","Ulanga","Malinyi","Igawa","Village-Morogoro-Ulanga-Malinyi-Igawa","Ward-Morogoro-Malinyi-Igawa","District-Morogoro-Malinyi",2018-08-13,"phone_consultation","yes","dog",NA,1,1,"none",NA,"owned","adult","female","unknown",NA,"yes","alive",NA,"no","not_applicable",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,"normal_behaviour","unknown",2018-08-13,2018,8,224,8,224,"2018-8","Suspect","Correction Spreadsheet","2018-08-01","running",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"on_owners_property",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"unprovoked_aggression",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"uuid:1e498975-caff-48bd-a1c5-225132647de0",NA,"Mtwara","Tandahimba","Kitama","Mwenge 'A'","Village-Mtwara-Tandahimba-Kitama-Mwenge 'A'","Ward-Mtwara-Tandahimba-Kitama","District-Mtwara-Tandahimba",2019-02-09,"in_person","yes","dog",NA,0,0,"none",NA,"owned","puppy","female","no",NA,"yes","dead","natural_death","no","decomposed",NA,NA,NA,NA,NA,NA,"suspect_rabid_animals",NA,NA,NA,"suspicious_for_of_rabies",2019-02-09,2019,2,39,14,51,"2019-2","Suspect","Correction Spreadsheet","2018-06-01",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"abnormal_vocalization,dullness,excessive_salivation,restlessness,running_without_reason",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"uuid:1f87c438-aa4a-402c-ae90-1a80c875791f",NA,"Mtwara","Masasi","Chigugu","Chigugu","Village-Mtwara-Masasi-Chigugu-Chigugu","Ward-Mtwara-Masasi-Chigugu","District-Mtwara-Masasi",2019-01-15,"phone_consultation","yes","dog",NA,1,1,"none",NA,"unknown","unknown","unknown","unknown",NA,"no","disappeared",NA,"no","not_applicable",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,NA,"suspicious_for_of_rabies",2019-01-15,2019,1,14,13,26,"2019-1","Suspect","Not altered","2018-06-01","aggressive",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fenced",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"running_without_reason",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"uuid:21308e41-3c9b-4296-8dcb-c8528023615f",NA,"Lindi","Kilwa","Miteja","Miteja","Village-Lindi-Kilwa-Miteja-Miteja","Ward-Lindi-Kilwa-Miteja","District-Lindi-Kilwa",2018-11-23,"phone_consultation","yes","dog",NA,1,1,"none",NA,"unknown","adult","female","no",NA,"no","lost",NA,"no","animal_disappeared",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,NA,"suspicious_for_of_rabies",2018-11-23,2018,11,326,11,326,"2018-11","Suspect","Not altered","2018-07-01","running",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"from_unknown_place",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"tameness",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"uuid:2347c3f4-c314-41f8-bb08-e11fc528231e",NA,"Morogoro","Morogoro","Ngerengere","Sinyaulime","Village-Morogoro-Morogoro-Ngerengere-Sinyaulime","Ward-Morogoro-Morogoro-Ngerengere","District-Morogoro-Morogoro",2019-02-26,"in_person","yes","dog",NA,1,1,"none",NA,"unknown","adult","male","unknown",NA,"no","disappeared",NA,"no","animal_disappeared",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,NA,"suspicious_for_of_rabies",2019-02-26,2019,2,56,14,68,"2019-2","Suspect","Not altered","2018-08-01","not_provoked",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"from_unknown_place",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"active_during_day",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
